#jd flux err
2454397.45849614 0.99932457 0.00923732
2454397.52099614 0.92946999 0.00089120
2454397.58349615 0.98923513 0.01032855
2454397.66682948 1.01474072 0.00379509
2454397.72932948 1.01642461 0.00190951
2454397.75016282 1.01422327 0.00180434
2454397.77099615 1.01424287 0.00448422
2454397.81266282 1.00542657 0.00273655
2454397.85432949 0.99683637 0.00355180
2454397.97932949 0.44246117 0.02457132
2454398.06266283 0.98991038 0.00549669
2454398.14599616 1.01078340 0.00101949
2454398.18766283 1.01944120 0.00212600
2454398.22932950 1.02184586 0.00304676
2454398.27099617 1.02258788 0.00061481
2454398.31266283 1.01736907 0.00105278
2454398.35432950 1.01256694 0.00789148
2454398.37516284 0.99519688 0.00882652
2454398.43766284 0.93400688 0.00538044
2454398.45849617 0.95371094 0.00910571
2454398.52099617 1.00865179 0.00182771
2454398.58349618 1.01314238 0.00228695
2454398.60432951 1.01745162 0.00376758
2454398.66682951 1.01473269 0.00159680
2454398.72932951 1.00334397 0.00139171
2454398.75016285 0.99807566 0.00291289
2454398.79182952 0.99218078 0.00041742
2454398.81266285 0.95557723 0.02443407
2454398.87516285 0.46910391 0.04258721
2454399.00016285 0.99894393 0.00391957
2454399.06266286 1.01275928 0.00314135
2454399.14599619 1.02582774 0.00286419
2454399.27099620 0.99829965 0.00490829
2454399.31266286 0.94992493 0.01058721
2454399.35432953 0.93902412 0.00914751
2454399.37516287 0.96658167 0.00314757
2454399.43766287 1.00803810 0.00233860
2454399.45849620 1.00959701 0.00143932
2454399.52099620 1.01549039 0.00050483
2454399.58349621 1.01368977 0.00134695
2454399.60432954 1.01180402 0.00469228
2454399.66682954 0.99918300 0.00263656
2454399.68766288 0.99241964 0.00172059
2454399.91682955 1.00259435 0.00162452
2454400.00016288 1.02032858 0.00042955
2454400.06266289 1.02321947 0.00128497
2454400.12516289 1.02131887 0.00402762
2454400.22932956 0.94132261 0.00733856
2454400.33349623 1.00536659 0.00236495
2454400.37516290 1.01065246 0.00183655
2454400.39599623 1.01312118 0.00165302
2454400.43766290 1.01504298 0.00054387
2454400.45849623 1.01644534 0.00018539
2454400.52099623 1.00794130 0.00235043
2454400.54182957 1.00422314 0.00249361
2454400.60432957 0.99188123 0.00327589
2454400.68766291 0.48257796 0.04466346
2454400.81266291 0.99552575 0.00209066
2454400.85432958 1.00609312 0.00178189
2454400.87516291 1.01148817 0.00471973
2454400.93766291 1.02313078 0.00267331
2454400.97932958 1.02190579 0.00181636
2454401.02099625 1.01779974 0.00074563
2454401.06266292 1.01572058 0.00022766
2454401.22932959 1.00269440 0.00417784
2454401.25016292 1.00973527 0.00627612
2454401.29182959 1.01131973 0.00306422
2454401.31266292 1.01208357 0.00275765
2454401.37516293 1.01315230 0.00273985
2454401.39599626 1.01083402 0.00347510
2454401.45849626 1.00094428 0.00301000
2454401.52099626 0.98866089 0.00474897
2454401.60432960 0.42664339 0.01378106
2454401.75016294 1.00244470 0.00214677
2454401.77099627 1.00842470 0.00335734
2454401.81266294 1.01775283 0.00426590
2454401.85432961 1.02214108 0.00439215
2454401.87516294 1.02149571 0.00255901
2454401.93766294 1.01651827 0.00347918
2454402.14599628 1.00334523 0.00362311
2454402.20849628 1.01003914 0.00130552
2454402.25016295 1.01245144 0.00215053
2454402.27099629 1.01245900 0.00120312
2454402.31266295 1.01156879 0.00161419
2454402.60432963 0.98971965 0.00205660
2454402.66682963 1.00560172 0.00310220
2454402.68766296 1.00955274 0.00277796
2454402.75016297 1.02105042 0.00241658
2454402.79182963 1.02038705 0.00076077
2454402.81266297 1.02016595 0.00221324
2454402.83349630 1.01959128 0.00448357
2454402.85432964 1.01850365 0.00091571
2454402.87516297 1.01617180 0.00379211
2454403.00016297 0.95240921 0.00673483
2454403.08349631 1.00756054 0.00216230
2454403.14599631 1.01456253 0.00038409
2454403.25016298 1.00621978 0.00168937
2454403.27099632 1.00146440 0.00268409
2454403.31266298 0.99480950 0.00422674
2454403.52099632 0.99216214 0.00220315
2454403.54182966 0.99608239 0.00291935
2454403.60432966 1.01105465 0.00467487
2454403.66682966 1.02263758 0.00353708
2454403.68766299 1.02308214 0.00315333
2454403.75016300 1.01690609 0.00375716
2454403.77099633 1.01377238 0.00039854
2454403.79182966 1.01104817 0.00586078
2454403.85432967 0.94426218 0.00260433
2454403.87516300 0.92870617 0.00258994
2454403.91682967 0.96590579 0.01311459
2454404.02099634 1.00812808 0.00195100
2454404.08349634 1.01587648 0.00430484
2454404.14599634 1.00986753 0.00332905
2454404.20849634 0.99582417 0.00237646
2454404.45849635 0.99684744 0.00339410
2454404.52099635 1.01063267 0.00103313
2454404.54182969 1.02254872 0.00589413
2454404.60432969 1.01784767 0.00094505
2454404.66682969 1.01251204 0.00170104
2454404.68766302 1.01087387 0.00319355
2454404.75016303 0.95715412 0.00721993
2454404.77099636 0.93498101 0.00540837
2454404.81266303 0.94893228 0.01111931
2454404.85432970 0.99905000 0.00130479
2454404.93766303 1.00822067 0.00079366
2454405.00016303 1.01251130 0.00278119
2454405.06266304 1.00432858 0.00067635
2454405.33349638 0.98820484 0.00150906
2454405.37516304 0.99909411 0.00433742
2454405.39599638 1.00394304 0.00251874
2454405.45849638 1.01557581 0.00244910
2454405.47932971 1.01660752 0.00130892
2454405.54182972 1.01688769 0.00350286
2454405.60432972 1.00896088 0.00241262
2454405.62516305 1.00017088 0.00381666
2454405.66682972 0.94079966 0.00567906
2454405.68766305 0.92665871 0.00448522
2454405.75016306 0.98216263 0.00829440
2454405.77099639 1.00496367 0.00066299
2454405.81266306 1.00498530 0.00201793
2454405.83349639 1.00871074 0.00308790
2454405.85432973 1.00815777 0.00448148
2454405.93766306 1.01154294 0.00481778
2454406.02099640 0.99321397 0.00504377
2454406.14599640 0.42354145 0.01829395
2454406.81266309 1.01080050 0.00182031
2454406.83349642 1.01148547 0.00261062
2454406.87516309 1.00530227 0.00271791
2454406.91682976 0.99424628 0.00249872
2454406.93766309 0.99454965 0.00160912
2454407.14599643 0.98718605 0.00108740
2454407.22932977 1.00593572 0.00153107
2454407.25016310 1.01460557 0.00136017
2454407.27099643 1.01150503 0.00052595
2454407.29182977 1.01603693 0.00394323
2454407.31266310 1.01461935 0.00393753
2454407.33349644 1.01634431 0.00247987
2454407.39599644 1.00972772 0.00650627
2454407.45849644 0.97207274 0.00735336
2454407.47932977 0.94639829 0.01098013
2454407.54182978 0.95358314 0.00722905
2454407.60432978 0.99937304 0.00230170
2454407.62516311 0.99995524 0.00185714
2454407.68766311 1.00647614 0.00188582
2454407.75016312 1.00703266 0.00115497
2454407.77099645 1.00237011 0.00213377
2454407.83349645 0.98855941 0.00163147
2454408.08349646 0.99052033 0.00094210
2454408.20849646 1.01431112 0.00163791
2454408.25016313 1.01387399 0.00236197
2454408.29182980 1.01063813 0.00215458
2454408.33349647 1.00553009 0.00059424
2454408.39599647 0.93558035 0.00415388
2454408.41682980 0.92371108 0.00184398
2454408.45849647 0.96484563 0.00588623
2454408.47932980 0.98695217 0.00478879
2454408.54182981 1.00395680 0.00182767
2454408.60432981 1.00903782 0.00210476
2454408.62516314 1.00787675 0.00307468
2454408.68766314 1.00178798 0.00234624
2454408.75016315 0.98831202 0.00231634
2454408.77099648 0.98374521 0.00173040
2454409.02099649 0.99948059 0.00118847
2454409.08349649 1.01115486 0.00385865
2454409.10432982 1.01273495 0.00125660
2454409.16682982 1.01128983 0.00055087
2454409.20849649 1.00843747 0.00266848
2454409.25016316 0.99862618 0.00548176
2454409.33349650 0.92948266 0.00425972
2454409.39599650 0.99719087 0.00515861
2454409.41682983 0.99855708 0.00058015
2454409.45849650 1.00239133 0.00181571
2454409.47932983 1.00413076 0.00248576
2454409.54182984 1.00947808 0.00385883
2454409.56266317 1.00564655 0.00242310
2454409.60432984 0.99882900 0.00226812
2454409.62516317 0.99421819 0.00332611
2454409.68766317 0.98405335 0.00442474
2454409.77099651 0.41669158 0.00864492
2454409.89599651 0.99117499 0.00087621
2454409.93766318 1.00188387 0.00050257
2454410.02099652 1.01408794 0.00043720
2454410.08349652 1.01288653 0.00208181
2454410.10432985 1.01059982 0.00115655
2454410.14599652 1.00556791 0.00111961
2454410.22932986 0.92715357 0.00479133
2454410.25016319 0.93793273 0.00398260
2454410.31266319 0.99789208 0.00417114
2454410.33349653 1.00329167 0.00255847
