#SkiptoMainContent
#Table1.
#KeckandHARPS–TERRAradialvelocitiesforGJ876.
#
#JD RV Error
#(d) (ms-1) (ms-1)
#Keck  
602.09311 329.19 2.68
603.10836 345.30 2.70
604.11807 335.99 2.77
605.11010 336.00 2.78
606.11129 313.94 2.75
607.08450 288.73 2.75
609.11637 197.05 2.81
666.05032 338.38 2.68
690.00713 -115.22 2.87
715.96471 197.16 2.63
785.70436 365.44 3.39
983.04582 -65.63 2.74
984.09389 -84.80 2.83
1010.04457 -43.58 2.60
1011.10207 -26.76 2.38
1011.98546 -0.63 2.28
1013.08905 26.92 2.70
1013.96558 50.29 2.41
1043.02045 -45.34 2.66
1044.00022 -70.50 2.67
1050.92784 -115.86 2.72
1052.00302 -98.84 2.89
1068.87655 -90.26 2.75
1069.98405 -61.21 2.79
1070.96594 -56.96 2.81
1071.87782 -27.61 2.73
1072.93848 -16.71 2.70
1170.70376 -86.04 3.12
1171.69171 -99.71 2.89
1172.70252 -81.15 2.84
1173.70148 -78.61 2.94
1312.12727 -103.43 2.69
1313.11723 -101.40 2.69
1343.04074 68.57 2.80
1368.00106 -147.61 2.84
1369.00183 -156.59 2.89
1370.05951 -139.31 2.61
1372.05858 -120.61 3.54
1409.98670 -49.88 2.75
1410.94861 -48.68 2.81
1411.92171 -56.68 2.66
1438.80200 -23.37 2.84
1543.70165 -105.40 2.96
1550.70152 -161.29 2.77
1704.10273 157.72 2.68
1706.10773 107.70 2.86
1755.98025 307.51 3.26
1757.03786 281.33 2.94
1792.82213 -179.43 2.79
1883.72512 226.87 2.74
1897.68199 88.28 2.83
1898.70648 80.85 2.82
1899.72426 70.86 2.77
1900.70359 51.60 2.65
2063.09867 245.77 2.93
2095.02441 -194.59 2.95
2098.05057 -230.27 3.09
2099.09480 -222.44 3.08
2100.06624 -234.09 2.70
2101.99145 -214.27 2.77
2128.91479 167.27 3.11
2133.01847 92.78 3.00
2133.88182 105.82 3.16
2160.89624 -226.42 2.81
2161.86235 -231.15 3.03
2162.88042 -195.02 3.11
2188.90903 156.83 2.84
2189.80815 152.59 3.16
2236.69389 225.13 2.81
2238.69635 248.60 2.92
2242.71316 264.24 3.16
2446.07064 117.43 3.19
2486.91681 230.06 2.54
2487.12395 218.81 2.47
2487.91836 216.56 2.60
2488.12695 222.24 2.48
2488.94388 199.66 2.19
2514.86655 -84.38 3.19
2515.87295 -108.41 3.00
2535.77402 83.48 3.05
2536.02384 87.44 2.87
2536.80403 114.45 3.03
2537.01292 117.70 2.76
2537.81194 126.07 2.80
2538.01383 133.42 3.00
2538.80067 162.08 3.07
2539.92124 175.89 2.79
2572.71250 -7.07 2.67
2572.91949 -15.40 2.77
2573.74296 -28.24 2.65
2573.87844 -28.58 2.62
2574.76393 -66.20 2.61
2574.94041 -64.63 2.67
2575.71905 -87.17 2.56
2600.75110 172.51 2.42
2601.75071 177.92 2.48
2602.72004 201.51 2.52
2651.71796 -78.56 3.91
2807.02778 202.50 2.79
2829.00786 -205.85 2.81
2832.07993 -137.56 2.95
2833.96325 -87.32 2.91
2835.08493 -51.90 2.74
2848.99946 188.48 3.25
2850.00090 171.94 3.01
2851.05668 166.92 3.10
2854.00713 130.49 2.92
2856.01579 155.93 3.00
2897.82598 -2.50 2.87
2898.81468 29.81 2.88
2924.79475 255.62 3.03
2987.71613 246.15 3.58
2988.72395 239.18 3.07
3154.11700 95.22 3.00
3181.00540 -14.91 3.00
3181.11618 -22.60 2.90
3182.06964 -60.62 2.79
3191.03662 -220.60 2.94
3195.97023 -140.86 2.94
3196.99712 -122.80 3.11
3301.83459 13.71 2.37
3302.72877 -36.34 2.31
3303.78576 -85.95 2.36
3338.74360 119.33 2.91
3367.71753 -180.10 3.12
3368.71947 -193.13 3.31
3369.70562 -192.62 2.54
3547.08770 -98.83 2.64
3550.10132 -148.44 2.99
3551.10883 -166.49 2.94
3552.09458 -165.40 2.89
3571.00432 27.08 2.86
3603.07412 104.97 3.19
3604.01707 51.89 2.93
3604.98440 13.84 3.16
3724.71853 88.50 2.80
4083.77192 287.58 3.28
4337.09682 -0.28 2.99
4343.91291 -109.95 3.10
4345.11351 -93.51 2.96
4396.78303 27.97 2.88
4397.84797 -4.46 2.99
4634.10109 182.38 2.94
4636.08653 132.28 2.91
4639.07368 64.12 2.79
4667.05860 -137.50 2.8
4672.99139 -31.83 2.54
4675.95043 73.06 2.45
4687.00220 318.88 2.80
4702.07311 9.81 2.64
4703.06794 -0.30 2.29
4704.02881 -25.07 2.53
4819.80176 99.74 2.68
4822.78895 25.41 2.51
5051.08321 284.20 2.56
5054.03189 274.77 3.01
5143.87496 -127.21 2.39
5166.83669 250.15 2.41
5168.79585 272.52 2.58
5200.76205 -59.18 2.52
5201.76137 -78.29 2.42
5202.73775 -103.93 2.28
#HARPS
3339.55769 210.90 2.18
3542.76959 175.44 2.19
3542.93864 162.55 2.10
3543.75050 112.82 2.09
3543.87080 108.38 2.07
3543.94632 106.84 2.09
3544.74647 72.35 2.17
3544.87437 67.05 2.06
3544.94455 63.42 2.08
3545.78504 28.25 2.66
3546.73885 0.00 2.58
3546.88000 -7.65 2.06
3546.94738 -10.10 2.14
3547.73491 -33.05 2.32
3547.86712 -35.70 2.07
3547.94555 -34.82 2.13
3550.73512 -76.60 2.18
3550.84190 -79.72 2.08
3550.94392 -83.54 2.11
3572.85339 89.75 2.25
3573.77291 87.62 2.09
3576.74516 87.28 2.06
3577.71674 109.28 2.06
3577.89513 109.51 2.07
3579.86570 149.02 2.06
3669.66480 -33.22 2.10
3670.50887 -38.22 2.08
3670.71111 -43.30 2.09
3671.50963 -63.62 2.07
3671.71358 -63.10 2.12
3672.51327 -64.64 2.05
3672.70490 -70.00 2.07
3673.51828 -84.75 2.10
3673.70526 -83.97 2.07
3674.50616 -81.30 2.05
3674.69603 -87.32 2.10
3675.51016 -95.90 2.09
3975.72341 -29.59 2.06
3979.81110 -64.72 2.19
4228.89045 22.46 2.09
4260.93227 463.58 2.35
4291.86547 29.54 2.13
4295.79232 -25.12 2.04
4298.80154 -44.60 2.09
4339.71897 18.95 2.07
4344.75827 -14.39 2.07
4392.62420 206.68 2.08
4422.54302 -40.55 2.14
4429.56649 66.48 2.11
4446.56696 372.04 2.08
4704.71839 48.06 2.08
4770.68394 94.21 2.14
